User_Rating_out_of_5,Review_Title,Review_Body
5.0,All the Content is relavent,I like the Content of the books it is very easy to learn and I also get the video solution by scaning the qr code that is gret thing
5.0,Best book,Thankyou topper notes it is best book easy and helping to clear my ssc cgl exam value of money ğŸ‘âœŒï¸
1.0,Worst product ever I purchased,Content ke naam par kuch bhi nhi hai agar aap serious aspirant ho to iski jagar koi or book dekh sakte ho
5.0,Knowledge,It is very good product and it is very helpful for my studies
5.0,Nice product and good packing.,The product was good without any damage on books. The agent was also good and that range it was good.
5.0,Good notes for all ssc exam and easy language try thi notes it's very usefull,Good for ssc all exam
1.0,"Ssc cgl notes , please don't buy thease notes.",This is totally waste of money. Because content is very short in point of cgl exam.
4.0,These books provide complete preparation for SSC CGL.,These books provide complete preparation for SSC CGL.
5.0,Good Book but details of explanations issue.,Those candidates is preparing ssc cgl exam and whose basis is really good.This books are helpful.
5.0,Best,Best content easy to understand
5.0,Good collection,All books are compiled in easy way mode
1.0,Bookmark,Bookmark mention h but 1 bhi bookmark receive nhi hua h
2.0,Content not commendable,Content not upto the mark
5.0,New topper notes and application of NOTES,Thank you very much sir........topper notes 2023 update
5.0,Time ki bachat hogi.,Yah book upyogi hai kyuki isme trick with solutions and all types questions covered
1.0,Ok,This book is not good for New students and material is very weaker and price higher.
5.0,All since question,Nyc note book
5.0,This is very good for competative exam,All good
5.0,Thank you to Toppers notes,"Thank you, Toppers Notes! This is an excellent book that provides clear and concise explanations, making it easier to prepare for the SSC CGL exam. The content is well-organized, straightforward, and truly offers great value for money. Highly recommended for anyone looking for a reliable and affordable study resource."
5.0,SSC CGL topper notes,"I like this book and SSC CGL best books .
Topper notes ssc cgl
Good quality book
English
Gs
Maths
Reasoning
Science"
5.0,Best ğŸ“š book,Thankyou topper notes it is best book easy and helping to clear my ssc cgl exam value of money ğŸ‘âœŒï¸
5.0,Easy preparation,Easy preparation and very helpful â˜ºï¸ almost exam Me related questions aaye or test series sabse best hai.. or app m kafi questions game h jo or help karta h preparation ke liye..
5.0,"Everything in this notes is very important like general studies,mathematics and english","Yes I use this product .
Very helpful in ssc level exams like chsl ,cgl,mts and etc.
So I am very excited for reading the complete notes."
5.0,SSC CGL EXAM,This notes is very good & helpful for ssc cgl exam. I have purchased & read this notes. I am much satisfied after reading this notes.
5.0,Good. Books,Like product for product is good books is cool ğŸ˜ğŸ˜ğŸ˜ and good writing is good mide li nice books good day
5.0,All books are most helpful,"I liked these books for ssc cgl exam purpose, all aspirants purchase these books it will most helpful for all."
2.0,Genuine review,Not satisfied with the content it is very much limited. Printing is very light. Mathematics notes is very limited and not upto the mark of any ssc exam.
5.0,Best book,special for English it's easy to understand great experience âœ¨ğŸ˜Š âœ¨ğŸ˜Šâœ¨ ğŸ˜Šâœ¨ğŸ˜Š âœ¨ğŸ¥¹âœ¨ğŸ˜Š âœ¨ğŸ˜Šâœ¨ ğŸ˜Šâœ¨ ğŸ˜Šâœ¨ ğŸ˜Šâ¤ï¸ â¤ï¸âœ¨â¤ï¸ ğŸ˜ ğŸ¤©
5.0,I improve my knowledge for this note,I improve my knowledge for this note
5.0,Hope of greater comebackâœ”ï¸,"Actually hits.... à¤¸à¤®à¤¯ à¤•à¥‹ à¤‡à¤¤à¤¨à¤¾ à¤¸à¤®à¤¯ à¤¨à¤¹à¥€ à¤•à¥€ à¤µà¥‹ à¤¦à¥à¤¬à¤¾à¤°à¤¾ à¤†à¤ªà¤•à¥‹ à¤¸à¤®à¤¯ à¤¦à¥‡à¥¤ğŸ’¯
Don't lose a sec of time. #toppersnote"
5.0,For CGL Aspirants Best Books,For CGL Aspirants toppers notes is best because in this book there is proper notes is given with proper explanation.ğŸ‘
5.0,Best Book for SSC cgl,SSC CGL keliye ye best Book he....itni achi tarah se notes mene kisi v book me dekha hnu..so best Book ever
5.0,This book language is easy and notes are good,This book language is easy and notes are good
5.0,Best books for SSC CGL,Best books for SSC CGL
5.0,Very impressive,"Very impressive and easy to understand.
I baught it and find very simple language used.
Recommended for all aspirants. GOOD"
5.0,Amazing,"Useful notes for SSC exams.
I will Recommend every aspirant of ssc to buy this one and prepare for ssc."
5.0,Best Notes with sufficient contents,Best Seller for All competitions with definite content and accurate time of delivery with respect to others. And amazing tricks for attempting more questions in less time intervals by it.
5.0,Good book,Content is to the point and relevant. Ssc aspirants must read this book for better understanding. Thanks topper notes for this bookğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘
1.0,Not Good For SSC CGL preperation,This book is not well prepared for the students preparing for CGL and is explained in not in simple words you can't understand it very easily
5.0,Toppers notes,"It's really good , and I suggest to buy it â˜ºï¸ go for it and make your strategy better ğŸ™‚"
5.0,Simple language sabko samj aaye visa h,Sabhi Books simple language me liki h ache se samj me aa rha hai sbhi cgl ki tyari kr rhe bccho ko suggest kro
5.0,Best for beginners,It's truly awesome and for any exam it is very useful specially beginners should have this book . My english is improving from this book specially grammar section.
5.0,Very excellent books ssc cgl,"Like too much
Very excellent book
Very useful for ssc cgl
Gs
Advance maths english every topic of every subject coverd"
5.0,Good content,Good page and Good content
